aluguel,CEP,Município,Bairro,Logradouro,Condomínio,IPTU,Tamanho,Vagas na garagem,Área útil,Banheiros,Tipo,Aluguel + Condomínio,Detalhes do imóvel,Detalhes do condomínio,Área construída,Acomoda,Características
5.400,22631054,Rio de Janeiro,Barra da Tijuca,Avenida Prefeito Dulcídio Cardoso - de 3042 a 4028 - lado par,R$ 1.950,R$ 4.100,,,110m²,3,Padrão,R$ 7.350,"Academia, Ar condicionado, Churrasqueira, Piscina","Academia, Condomínio fechado, Elevador, Piscina, Portaria, Salão de festas",,,
900,23075478,Rio de Janeiro,Campo Grande,Rua Adriano Reis,R$ 0,,,1,44m²,1,Padrão,R$ 900,"Academia, Área de serviço, Piscina","Academia, Condomínio fechado, Permitido animais, Piscina, Portaria, Salão de festas",,,
950.000,22760000,Rio de Janeiro,Freguesia (Jacarepaguá),Rua Francisca Sales,R$ 600,R$ 282,,3,,5 ou mais,Casa de condomínio,,"Ar condicionado, Área de serviço, Armários na cozinha, Armários no quarto, Quarto de serviço, Varanda","Academia, Área murada, Condomínio fechado, Permitido animais, Piscina, Portão eletrônico, Segurança 24h",,,
23.560,20031000,Rio de Janeiro,Centro,Avenida Almirante Barroso - até 54 - lado par,R$ 17.081,R$ 4.200,589m²,0,,,,,,,,,
20.000,21920195,Rio de Janeiro,Tauá,Rua Jaime Perdigão,R$ 0,R$ 0,632m²,,,,,,,,,,
2.500,21940460,Rio de Janeiro,Jardim Guanabara,Praça Jerusalém,R$ 450,R$ 225,,1,102m²,2,Padrão,R$ 2.950,,,,,
1.200,26210171,Nova Iguaçu,Centro,Rua Otávio Tarquino - até 295 - lado ímpar,R$ 579,R$ 164,32m²,0,,,,,,,,,
140.000,26210171,Nova Iguaçu,Centro,Rua Otávio Tarquino - até 295 - lado ímpar,R$ 579,R$ 164,32m²,0,,,,,,,,,
15.000,22730001,Rio de Janeiro,Taquara,Avenida Nelson Cardoso - de 884/885 ao fim,R$ 1.000,R$ 1.773,218m²,,,,,,,,,,
2.800.000,22793081,Rio de Janeiro,Barra da Tijuca,Avenida das Américas - de 6735/6736 a 9301/9302,R$ 2.800,R$ 5.870,,,200m²,4,Padrão,,"Academia, Ar condicionado, Churrasqueira, Mobiliado, Piscina, Varanda","Academia, Condomínio fechado, Elevador, Permitido animais, Piscina, Salão de festas",,,
17.000,22793081,Rio de Janeiro,Barra da Tijuca,Avenida das Américas - de 6735/6736 a 9301/9302,R$ 2.800,R$ 5.870,,,200m²,4,Padrão,R$ 19.800,"Academia, Ar condicionado, Churrasqueira, Mobiliado, Piscina, Varanda","Academia, Condomínio fechado, Elevador, Permitido animais, Piscina, Salão de festas",,,
1.200,20270004,Rio de Janeiro,Maracanã,Rua Mariz e Barros - de 593 ao fim - lado ímpar,R$ 386,,,0,30m²,1,Padrão,R$ 1.586,Armários no quarto,Condomínio fechado,,,
25.000,22793341,Rio de Janeiro,Barra da Tijuca,Rua Ênio Silveira,R$ 2.500,R$ 2,,4,,5 ou mais,Padrão,R$ 27.500,"Ar condicionado, Porteiro 24h","Condomínio fechado, Permitido animais, Portão eletrônico",350m²,,
1.700,21920385,Rio de Janeiro,Portuguesa,Rua Heleno de Freitas,R$ 20,R$ 113,,,,1,Padrão,R$ 1.720,Área de serviço,,70m²,,
18.000,24220030,Niterói,Icaraí,Rua General Pereira da Silva - lado ímpar,R$ 0,R$ 850,300m²,,,,,,,,,,
8.000,24358600,Niterói,Camboinhas,Rua Jayme Bittencourt,R$ 1.600,R$ 439,,1,180m²,4,Padrão,R$ 9.600,"Ar condicionado, Piscina, Varanda","Elevador, Piscina, Segurança 24h",,,
